model_name,prompt_name,split,micro_precision,micro_recall,micro_f1,micro_f2,subset_accuracy,hamming_loss,precision_by_class,recall_by_class,f1_by_class,multilabel_confusion_matrix
Qwen2.5-VL-3B-Instruct,film_editing,test_generalization_split,0.15,0.04736842105263158,0.072,0.054878048780487805,0.6872909698996655,0.07759197324414716,"[0.1, 0.0, 0.0, 0.0, 0.16]","[0.010101010101010102, 0.0, 0.0, 0.0, 0.14285714285714285]","[0.01834862385321101, 0.0, 0.0, 0.0, 0.1509433962264151]","[[[490, 9], [98, 1]], [[594, 0], [4, 0]], [[584, 0], [14, 0]], [[581, 0], [17, 0]], [[500, 42], [48, 8]]]"
Baseline-All,film_editing,test_generalization_split,0.06354515050167224,1.0,0.11949685534591195,0.25333333333333335,0.0,0.9364548494983278,"[0.16555183946488294, 0.006688963210702341, 0.023411371237458192, 0.028428093645484948, 0.09364548494983277]","[1.0, 1.0, 1.0, 1.0, 1.0]","[0.28407460545193686, 0.013289036544850499, 0.0457516339869281, 0.055284552845528454, 0.1712538226299694]","[[[0, 499], [0, 99]], [[0, 594], [0, 4]], [[0, 584], [0, 14]], [[0, 581], [0, 17]], [[0, 542], [0, 56]]]"
Baseline-None,film_editing,test_generalization_split,0.0,0.0,0.0,0.0,0.7625418060200669,0.06354515050167224,"[0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0]","[[[499, 0], [99, 0]], [[594, 0], [4, 0]], [[584, 0], [14, 0]], [[581, 0], [17, 0]], [[542, 0], [56, 0]]]"
Baseline-Random,film_editing,test_generalization_split,0.06262359920896507,0.5,0.11130638547158758,0.20860781730346947,0.030100334448160536,0.5073578595317726,"[0.16783216783216784, 0.00641025641025641, 0.015527950310559006, 0.03, 0.10437710437710437]","[0.48484848484848486, 0.5, 0.35714285714285715, 0.5294117647058824, 0.5535714285714286]","[0.24935064935064935, 0.012658227848101266, 0.02976190476190476, 0.056782334384858045, 0.17563739376770537]","[[[261, 238], [51, 48]], [[284, 310], [2, 2]], [[267, 317], [9, 5]], [[290, 291], [8, 9]], [[276, 266], [25, 31]]]"
Qwen2.5-VL-3B-Instruct,film_editing,test_kfold_splits_fep,0.015384615384615385,0.0035460992907801418,0.005763688760806916,0.004191114836546521,0.7104795737122558,0.06127886323268206,"[0.1111111111111111, 0.0, 0.0, 0.0, 0.0]","[0.007042253521126761, 0.0, 0.0, 0.0, 0.0]","[0.013245033112582781, 0.0, 0.0, 0.0, 0.0]","[[[976, 8], [141, 1]], [[1044, 0], [82, 0]], [[1115, 0], [11, 0]], [[1085, 0], [41, 0]], [[1064, 56], [6, 0]]]"
Qwen2.5-VL-3B-Instruct,film_editing_defs,test_generalization_split,0.1746031746031746,0.05789473684210526,0.08695652173913043,0.06682867557715674,0.68561872909699,0.07725752508361204,"[0.0, 0.0, 0.0, 0.0, 0.18333333333333332]","[0.0, 0.0, 0.0, 0.0, 0.19642857142857142]","[0.0, 0.0, 0.0, 0.0, 0.1896551724137931]","[[[497, 2], [99, 0]], [[594, 0], [4, 0]], [[584, 0], [14, 0]], [[580, 1], [17, 0]], [[493, 49], [45, 11]]]"
Qwen2.5-VL-3B-Instruct,film_editing_defs,test_kfold_splits_fep,0.013157894736842105,0.0035460992907801418,0.00558659217877095,0.004152823920265781,0.7007104795737122,0.06323268206039076,"[1.0, 0.0, 0.0, 0.0, 0.0]","[0.007042253521126761, 0.0, 0.0, 0.0, 0.0]","[0.013986013986013986, 0.0, 0.0, 0.0, 0.0]","[[[984, 0], [141, 1]], [[1044, 0], [82, 0]], [[1115, 0], [11, 0]], [[1082, 3], [41, 0]], [[1048, 72], [6, 0]]]"
Baseline-All,film_editing_defs,test_kfold_splits_fep,0.05008880994671403,1.0,0.09539918809201624,0.20864160994377035,0.0,0.949911190053286,"[0.1261101243339254, 0.07282415630550622, 0.009769094138543518, 0.03641207815275311, 0.0053285968028419185]","[1.0, 1.0, 1.0, 1.0, 1.0]","[0.22397476340694006, 0.1357615894039735, 0.019349164467897976, 0.0702656383890317, 0.01060070671378092]","[[[0, 984], [0, 142]], [[0, 1044], [0, 82]], [[0, 1115], [0, 11]], [[0, 1085], [0, 41]], [[0, 1120], [0, 6]]]"
Baseline-None,film_editing_defs,test_kfold_splits_fep,0.0,0.0,0.0,0.0,0.7593250444049734,0.05008880994671403,"[0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0]","[[[984, 0], [142, 0]], [[1044, 0], [82, 0]], [[1115, 0], [11, 0]], [[1085, 0], [41, 0]], [[1120, 0], [6, 0]]]"
Baseline-Random,film_editing_defs,test_kfold_splits_fep,0.04524403277520485,0.450354609929078,0.08222725801230171,0.1613722998729352,0.03019538188277087,0.5035523978685613,"[0.11985688729874776, 0.07130124777183601, 0.006956521739130435, 0.02819548872180451, 0.0017241379310344827]","[0.47183098591549294, 0.4878048780487805, 0.36363636363636365, 0.36585365853658536, 0.16666666666666666]","[0.19115549215406563, 0.12441679626749612, 0.013651877133105802, 0.05235602094240838, 0.0034129692832764505]","[[[492, 492], [75, 67]], [[523, 521], [42, 40]], [[544, 571], [7, 4]], [[568, 517], [26, 15]], [[541, 579], [5, 1]]]"
Qwen2.5-VL-3B-Instruct,film_editing_perclass,test_generalization_split,0.05357142857142857,0.031578947368421054,0.039735099337748346,0.034403669724770644,0.6939799331103679,0.09698996655518395,"[0.4, 0.0, 0.0, 0.0, 0.6666666666666666]","[0.04040404040404041, 0.0, 0.0, 0.0, 0.03571428571428571]","[0.07339449541284404, 0.0, 0.0, 0.0, 0.06779661016949153]","[[[493, 6], [95, 4]], [[560, 34], [4, 0]], [[575, 9], [14, 0]], [[525, 56], [17, 0]], [[541, 1], [54, 2]]]"
Qwen2.5-VL-3B-Instruct,film_editing_perclass,test_kfold_splits_fep,0.05511811023622047,0.024822695035460994,0.034229828850855744,0.027888446215139442,0.7113676731793961,0.07015985790408526,"[0.3076923076923077, 0.025, 0.0, 0.03571428571428571, 0.0]","[0.028169014084507043, 0.012195121951219513, 0.0, 0.04878048780487805, 0.0]","[0.05161290322580645, 0.01639344262295082, 0.0, 0.041237113402061855, 0.0]","[[[975, 9], [138, 4]], [[1005, 39], [81, 1]], [[1100, 15], [11, 0]], [[1031, 54], [39, 2]], [[1117, 3], [6, 0]]]"
Qwen2.5-VL-3B-Instruct,strategies,test_generalization_split,0.014285714285714285,0.00847457627118644,0.010638297872340425,0.00922509225092251,0.49665551839464883,0.10367892976588629,"[0.015037593984962405, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.08333333333333333, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.025477707006369428, 0.0, 0.0, 0.0, 0.0, 0.0]","[[[443, 131], [22, 2]], [[582, 3], [13, 0]], [[558, 0], [40, 0]], [[520, 3], [75, 0]], [[520, 0], [78, 0]], [[591, 1], [6, 0]]]"
Baseline-All,strategies,test_generalization_split,0.06577480490523968,1.0,0.12343096234309624,0.26037069726390116,0.0,0.9342251950947603,"[0.04013377926421405, 0.021739130434782608, 0.06688963210702341, 0.1254180602006689, 0.13043478260869565, 0.010033444816053512]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[0.07717041800643087, 0.0425531914893617, 0.12539184952978055, 0.22288261515601784, 0.23076923076923078, 0.019867549668874173]","[[[0, 574], [0, 24]], [[0, 585], [0, 13]], [[0, 558], [0, 40]], [[0, 523], [0, 75]], [[0, 520], [0, 78]], [[0, 592], [0, 6]]]"
Baseline-None,strategies,test_generalization_split,0.0,0.0,0.0,0.0,0.6538461538461539,0.06577480490523968,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[[[574, 0], [24, 0]], [[585, 0], [13, 0]], [[558, 0], [40, 0]], [[523, 0], [75, 0]], [[520, 0], [78, 0]], [[592, 0], [6, 0]]]"
Baseline-Random,strategies,test_generalization_split,0.06400437636761488,0.4957627118644068,0.11337209302325581,0.21103896103896103,0.010033444816053512,0.5100334448160535,"[0.03908794788273615, 0.01904761904761905, 0.06369426751592357, 0.12152777777777778, 0.1360544217687075, 0.012903225806451613]","[0.5, 0.46153846153846156, 0.5, 0.4666666666666667, 0.5128205128205128, 0.6666666666666666]","[0.07250755287009064, 0.036585365853658534, 0.11299435028248588, 0.1928374655647383, 0.21505376344086022, 0.02531645569620253]","[[[279, 295], [12, 12]], [[276, 309], [7, 6]], [[264, 294], [20, 20]], [[270, 253], [40, 35]], [[266, 254], [38, 40]], [[286, 306], [2, 4]]]"
Qwen2.5-VL-3B-Instruct,strategies,test_kfold_splits_strategie,0.04,0.020151133501259445,0.02680067001675042,0.02237136465324385,0.6248941574936494,0.08199266158622637,"[0.03225806451612903, 0.0, 0.0, 0.0, 0.0, 0.2857142857142857]","[0.13636363636363635, 0.0, 0.0, 0.0, 0.0, 0.05263157894736842]","[0.05217391304347826, 0.0, 0.0, 0.0, 0.0, 0.08888888888888889]","[[[957, 180], [38, 6]], [[1140, 5], [36, 0]], [[1174, 0], [7, 0]], [[1075, 2], [104, 0]], [[1013, 0], [168, 0]], [[1138, 5], [36, 2]]]"
Qwen2.5-VL-3B-Instruct,strategies_defs,test_generalization_split,0.012195121951219513,0.00847457627118644,0.01,0.009025270758122744,0.459866220735786,0.11036789297658862,"[0.013422818791946308, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.08333333333333333, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.023121387283236993, 0.0, 0.0, 0.0, 0.0, 0.0]","[[[427, 147], [22, 2]], [[585, 0], [13, 0]], [[557, 1], [40, 0]], [[523, 0], [75, 0]], [[520, 0], [78, 0]], [[578, 14], [6, 0]]]"
Qwen2.5-VL-3B-Instruct,strategies_defs,test_kfold_splits_strategie,0.04100946372239748,0.0327455919395466,0.036414565826330535,0.03412073490813648,0.5495342929720576,0.09709285915890488,"[0.026119402985074626, 0.6, 0.0, 0.0, 0.0, 0.07692307692307693]","[0.1590909090909091, 0.08333333333333333, 0.0, 0.0, 0.0, 0.07894736842105263]","[0.04487179487179487, 0.14634146341463414, 0.0, 0.0, 0.0, 0.07792207792207792]","[[[876, 261], [37, 7]], [[1143, 2], [33, 3]], [[1171, 3], [7, 0]], [[1076, 1], [104, 0]], [[1012, 1], [168, 0]], [[1107, 36], [35, 3]]]"
Baseline-All,strategies_defs,test_kfold_splits_strategie,0.056025966694891335,1.0,0.10610717626620339,0.22884482361079087,0.0,0.9439740333051087,"[0.03725656223539373, 0.03048264182895851, 0.0059271803556308214, 0.08806096528365792, 0.14225232853513972, 0.03217612193056731]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[0.07183673469387755, 0.05916187345932621, 0.011784511784511785, 0.16186770428015565, 0.2490733876945886, 0.062346185397867106]","[[[0, 1137], [0, 44]], [[0, 1145], [0, 36]], [[0, 1174], [0, 7]], [[0, 1077], [0, 104]], [[0, 1013], [0, 168]], [[0, 1143], [0, 38]]]"
Baseline-None,strategies_defs,test_kfold_splits_strategie,0.0,0.0,0.0,0.0,0.7180355630821338,0.056025966694891335,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[[[1137, 0], [44, 0]], [[1145, 0], [36, 0]], [[1174, 0], [7, 0]], [[1077, 0], [104, 0]], [[1013, 0], [168, 0]], [[1143, 0], [38, 0]]]"
Baseline-Random,strategies_defs,test_kfold_splits_strategie,0.058331007535584706,0.5264483627204031,0.1050251256281407,0.20208857087603946,0.02201524132091448,0.5026813434942139,"[0.02800658978583196, 0.03466204506065858, 0.003418803418803419, 0.088379705400982, 0.15248796147672553, 0.03620689655172414]","[0.38636363636363635, 0.5555555555555556, 0.2857142857142857, 0.5192307692307693, 0.5654761904761905, 0.5526315789473685]","[0.05222734254992319, 0.06525285481239804, 0.006756756756756757, 0.15104895104895105, 0.2402022756005057, 0.06796116504854369]","[[[547, 590], [27, 17]], [[588, 557], [16, 20]], [[591, 583], [5, 2]], [[520, 557], [50, 54]], [[485, 528], [73, 95]], [[584, 559], [17, 21]]]"
Qwen2.5-VL-3B-Instruct,strategies_perclass,test_generalization_split,0.08185053380782918,0.19491525423728814,0.11528822055137844,0.15272244355909695,0.4080267558528428,0.1967670011148272,"[0.0, 0.0, 0.07264957264957266, 0.0, 0.2196969696969697, 0.0]","[0.0, 0.0, 0.425, 0.0, 0.3717948717948718, 0.0]","[0.0, 0.0, 0.12408759124087591, 0.0, 0.2761904761904762, 0.0]","[[[511, 63], [24, 0]], [[561, 24], [13, 0]], [[341, 217], [23, 17]], [[515, 8], [75, 0]], [[417, 103], [49, 29]], [[491, 101], [6, 0]]]"
Qwen2.5-VL-3B-Instruct,strategies_perclass,test_kfold_splits_strategie,0.06329113924050633,0.163727959697733,0.09129213483146068,0.124282982791587,0.4462320067739204,0.18261360429014958,"[0.0, 0.0, 0.01327433628318584, 0.18181818181818182, 0.18726591760299627, 0.03825136612021858]","[0.0, 0.0, 0.8571428571428571, 0.019230769230769232, 0.2976190476190476, 0.18421052631578946]","[0.0, 0.0, 0.026143790849673203, 0.034782608695652174, 0.22988505747126436, 0.06334841628959276]","[[[1050, 87], [44, 0]], [[1118, 27], [36, 0]], [[728, 446], [1, 6]], [[1068, 9], [102, 2]], [[796, 217], [118, 50]], [[967, 176], [31, 7]]]"
